Age,Gender,Weight,Goal,Activitylevel,WorkoutType,Plan
28,Female,47,Weight Loss,High,Home,HIIT + Cardio
33,Female,97,Muscle Gain,High,Gym,Strength + Glute Focus
38,Male,55,Weight Loss,Medium,Home,General Fitness Plan
44,Female,71,Maintain,Low,Gym,General Fitness Plan
29,Male,84,Muscle Gain,High,Gym,Strength + Glute Focus
37,Female,63,Muscle Gain,Medium,Home,General Fitness Plan
36,Female,49,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
45,Female,57,Muscle Gain,Medium,Home,General Fitness Plan
42,Male,68,Weight Loss,Low,Gym,General Fitness Plan
19,Male,57,Muscle Gain,High,Gym,Strength + Glute Focus
21,Male,48,Maintain,Medium,Gym,General Fitness Plan
42,Male,52,Muscle Gain,Low,Home,General Fitness Plan
18,Male,78,Maintain,High,Home,General Fitness Plan
32,Male,74,Weight Loss,High,Gym,General Fitness Plan
33,Female,90,Maintain,High,Home,General Fitness Plan
43,Male,46,Weight Loss,Medium,Home,General Fitness Plan
43,Male,92,Maintain,Low,Home,Light Cardio + Yoga
22,Female,75,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
31,Male,83,Muscle Gain,High,Home,General Fitness Plan
37,Male,70,Maintain,High,Home,General Fitness Plan
22,Female,78,Maintain,Low,Gym,General Fitness Plan
41,Female,69,Weight Loss,High,Home,HIIT + Cardio
21,Male,67,Weight Loss,Low,Gym,General Fitness Plan
33,Male,82,Muscle Gain,Low,Gym,General Fitness Plan
31,Female,84,Weight Loss,Low,Gym,General Fitness Plan
33,Female,53,Maintain,Medium,Gym,General Fitness Plan
28,Male,74,Weight Loss,Medium,Home,General Fitness Plan
37,Female,98,Weight Loss,Low,Gym,General Fitness Plan
29,Female,52,Muscle Gain,High,Gym,Strength + Glute Focus
33,Male,60,Maintain,Low,Gym,General Fitness Plan
28,Male,58,Weight Loss,High,Gym,General Fitness Plan
24,Female,62,Maintain,Medium,Home,Bodyweight Workout + Walking
25,Male,93,Muscle Gain,High,Gym,Strength + Glute Focus
35,Female,84,Muscle Gain,Medium,Home,General Fitness Plan
42,Female,53,Weight Loss,Medium,Gym,Cardio + Full Body Training
40,Female,51,Muscle Gain,High,Home,General Fitness Plan
42,Male,88,Muscle Gain,Low,Gym,General Fitness Plan
19,Male,60,Weight Loss,Low,Home,Walking + Light Stretching
33,Female,99,Muscle Gain,High,Home,General Fitness Plan
38,Female,86,Weight Loss,High,Home,HIIT + Cardio
27,Male,61,Muscle Gain,High,Home,General Fitness Plan
31,Male,50,Maintain,Low,Home,Light Cardio + Yoga
43,Female,73,Muscle Gain,Medium,Home,General Fitness Plan
43,Female,91,Maintain,High,Gym,General Fitness Plan
37,Female,70,Muscle Gain,High,Home,General Fitness Plan
45,Male,75,Weight Loss,High,Gym,General Fitness Plan
25,Female,46,Maintain,Medium,Gym,General Fitness Plan
29,Male,62,Muscle Gain,Low,Home,General Fitness Plan
35,Female,47,Maintain,Medium,Gym,General Fitness Plan
31,Female,74,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
38,Male,90,Muscle Gain,Low,Gym,General Fitness Plan
25,Male,48,Muscle Gain,Medium,Home,General Fitness Plan
26,Female,74,Weight Loss,Low,Gym,General Fitness Plan
41,Male,65,Muscle Gain,Medium,Home,General Fitness Plan
45,Male,82,Weight Loss,Low,Home,Walking + Light Stretching
37,Male,62,Muscle Gain,High,Gym,Strength + Glute Focus
28,Female,98,Muscle Gain,High,Home,General Fitness Plan
35,Female,80,Muscle Gain,Low,Home,General Fitness Plan
32,Male,64,Muscle Gain,Medium,Home,General Fitness Plan
37,Female,91,Maintain,High,Gym,General Fitness Plan
38,Female,89,Weight Loss,Medium,Home,General Fitness Plan
37,Female,94,Maintain,Medium,Gym,General Fitness Plan
45,Male,48,Muscle Gain,Medium,Home,General Fitness Plan
22,Male,60,Maintain,High,Gym,General Fitness Plan
42,Female,82,Weight Loss,Low,Gym,General Fitness Plan
37,Female,52,Muscle Gain,Medium,Home,General Fitness Plan
24,Female,98,Muscle Gain,High,Gym,Strength + Glute Focus
27,Male,57,Muscle Gain,High,Gym,Strength + Glute Focus
22,Female,92,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
45,Male,88,Muscle Gain,Low,Gym,General Fitness Plan
25,Female,63,Muscle Gain,High,Home,General Fitness Plan
38,Female,45,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
36,Female,70,Weight Loss,Medium,Home,General Fitness Plan
42,Male,77,Muscle Gain,High,Home,General Fitness Plan
30,Female,47,Maintain,Low,Gym,General Fitness Plan
19,Male,76,Weight Loss,Medium,Gym,Cardio + Full Body Training
39,Female,48,Weight Loss,Medium,Home,General Fitness Plan
28,Male,90,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
29,Male,92,Weight Loss,Low,Gym,General Fitness Plan
35,Male,64,Maintain,Low,Home,Light Cardio + Yoga
33,Female,98,Weight Loss,Low,Home,Walking + Light Stretching
28,Female,95,Muscle Gain,Medium,Gym,Strength + Upper/Lower Split
